Year,Game,Prize,Players,Tournaments
2001,Aliens versus Predator 2,40000.00,1 Player,1 Tournament
2001,FIFA 2001,35000.00,3 Players,1 Tournament
2001,Unreal Tournament,35000.00,3 Players,1 Tournament
2001,QuakeWorld,15000.00,8 Players,1 Tournament
2000,Quake III Arena,307276.63,86 Players,15 Tournaments
2000,StarCraft: Brood War,133038.04,47 Players,9 Tournaments
2000,Age of Empires II: The Age of Kings,50000.00,4 Players,1 Tournament
2000,Counter-Strike,23763.33,52 Players,2 Tournaments
1999,StarCraft: Brood War,152771.08,27 Players,9 Tournaments
1999,Descent 3,50000.00,1 Player,1 Tournament
1999,Quake III Arena,43200.00,15 Players,2 Tournaments
1998,QuakeWorld,37000.00,8 Players,2 Tournaments
1998,Quake II,36200.00,12 Players,2 Tournaments
1998,StarCraft: Brood War,16200.00,3 Players,1 Tournament
